Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Kenya,Foreign Exchange Reserves,1995-04-30T00:00:00,998,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-05-31T00:00:00,863,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-06-30T00:00:00,968,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-07-31T00:00:00,909,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-08-31T00:00:00,955,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-09-29T00:00:00,927,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-09-30T00:00:00,927,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,1995-10-31T00:00:00,921,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-11-30T00:00:00,853,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-12-29T00:00:00,900,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1995-12-31T00:00:00,900,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,1996-01-31T00:00:00,899,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-02-29T00:00:00,941,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-03-29T00:00:00,1005,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-03-31T00:00:00,1005,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,1996-04-30T00:00:00,1047,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-05-31T00:00:00,1101,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-06-30T00:00:00,1246,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-07-31T00:00:00,1227,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-08-30T00:00:00,1226,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-08-31T00:00:00,1226,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,1996-09-30T00:00:00,1179,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-10-31T00:00:00,1233,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,1996-11-29T00:00:00,1225,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
